simulation_id,sample_index,input_sha256,layer_a_policy,layer_b_policy,policy_transition,layer_a_T_COST,layer_b_T_COST,delta_T_COST,layer_a_budget_usage,layer_b_budget_usage,delta_budget_usage,layer_a_worst_scenario,layer_b_worst_scenario,h09_recourse_loss,largest_non_h09_recourse_loss,largest_non_h09_scenario,h09_loss_advantage,h09_relative_loss_advantage,layer_a_Q_Water,layer_b_Q_Water,delta_Q_Water,layer_a_F_Water,layer_b_F_Water,delta_F_Water,layer_a_R_Water,layer_b_R_Water,reliability_transition_Water,delta_R_level_Water,layer_a_worst_exercise_Water,layer_b_worst_exercise_Water,delta_worst_exercise_Water,layer_a_worst_shortage_Water,layer_b_worst_shortage_Water,delta_worst_shortage_Water,layer_a_Q_Seasonal Influenza Vaccine,layer_b_Q_Seasonal Influenza Vaccine,delta_Q_Seasonal Influenza Vaccine,layer_a_F_Seasonal Influenza Vaccine,layer_b_F_Seasonal Influenza Vaccine,delta_F_Seasonal Influenza Vaccine,layer_a_R_Seasonal Influenza Vaccine,layer_b_R_Seasonal Influenza Vaccine,reliability_transition_Seasonal Influenza Vaccine,delta_R_level_Seasonal Influenza Vaccine,layer_a_worst_exercise_Seasonal Influenza Vaccine,layer_b_worst_exercise_Seasonal Influenza Vaccine,delta_worst_exercise_Seasonal Influenza Vaccine,layer_a_worst_shortage_Seasonal Influenza Vaccine,layer_b_worst_shortage_Seasonal Influenza Vaccine,delta_worst_shortage_Seasonal Influenza Vaccine,layer_a_Q_Crackers,layer_b_Q_Crackers,delta_Q_Crackers,layer_a_F_Crackers,layer_b_F_Crackers,delta_F_Crackers,layer_a_R_Crackers,layer_b_R_Crackers,reliability_transition_Crackers,delta_R_level_Crackers,layer_a_worst_exercise_Crackers,layer_b_worst_exercise_Crackers,delta_worst_exercise_Crackers,layer_a_worst_shortage_Crackers,layer_b_worst_shortage_Crackers,delta_worst_shortage_Crackers
LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,P4,P4,P4->P4,1136111060.572754,1129507408.2703202,-6603652.302433729,1.0,1.0,0.0,h09,h09,1129408769.6170092,188394876.15620765,h19,941013893.4608015,0.8331915943772122,0.0,0.0,0.0,13509125.819073599,13509125.819073599,0.0,R0,R0,R0->R0,0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,388293067.458992,414610174.2448552,26317106.78586322,R0,R0,R0->R0,0,298927403.2722306,319187626.93426377,20260223.66203314,1563072596.7277694,1542812373.0657363,-20260223.66203308
LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,P4,P4,P4->P4,1219748907.5374959,1217715138.4542887,-2033769.0832071304,1.0,1.0,0.0,h09,h09,1207631550.5815547,194088989.85835606,h19,1013542560.7231987,0.83928128594778,0.0,0.0,0.0,0.0,18499196.389126413,18499196.389126413,NONE,R0,NONE->R0,1,0.0,10400000.0,10400000.0,10400000.0,0.0,-10400000.0,0.0,0.0,0.0,1769322.144901547,0.0,-1769322.144901547,R0,NONE,R0->NONE,-1,994689.1702707653,0.0,-994689.1702707653,8562654.894115524,9557344.06438629,994689.1702707652,0.0,0.0,0.0,0.0,149223978.31402862,149223978.31402862,NONE,R0,NONE->R0,1,0.0,83891718.4196229,83891718.4196229,1862000000.0,1778108281.580377,-83891718.4196229
LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,P1,P1,P1->P1,1221369874.0542448,1220456158.4677374,-913715.5865073204,1.0,1.0,0.0,h09,h09,1201318252.612299,189407654.47984284,h19,1011910598.1324561,0.8423334915057098,10939658.094400566,14045150.246489204,3105492.1520886384,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,2299521.0314531866,0.0,-2299521.0314531866,610654.5166817467,696508.1881789276,85853.67149718094,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9105173.253676903,9041601.261359207,-63571.99231769517,27346571.804981727,0.0,-27346571.804981727,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1841750708.1248276,1862000000.0,20249291.875172377
LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,P4,P4,P4->P4,1221485714.5733078,1219546842.7838023,-1938871.7895054817,1.0,1.0,0.0,h09,h09,1217063676.844732,218575114.2322675,h19,998488562.6124645,0.8204078238544356,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,316248639.7864611,333528129.92772025,17279490.141259134,R0,R0,R0->R0,0,143063302.7585896,150880129.8325723,7816827.073982716,1718936697.2414105,1711119870.1674278,-7816827.073982716
LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,P1,P1,P1->P1,1232317703.198293,1231601707.3162727,-715995.8820202351,1.0,1.0,0.0,h09,h09,1212463801.4608343,190785676.9026663,h19,1021678124.5581679,0.8426462904106509,0.0,17637799.914796602,17637799.914796602,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,0.0,-10400000.0,1303995.7970285513,535093.150015588,-768902.6470129633,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,8788452.4591629,9241830.293561982,453377.83439908177,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,P4,P4,P4->P4,1229511266.3128974,1228010902.1554124,-1500364.1574850082,1.0,1.0,0.0,h09,h09,1220421369.0754495,216660620.68660372,h19,1003760748.3888457,0.8224706431920815,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,881244.336626926,0.0,-881244.336626926,R2,NONE,R2->NONE,-3,819309.0542999118,0.0,-819309.0542999118,8738035.010086378,9557344.06438629,819309.0542999115,0.0,0.0,0.0,0.0,138001015.2037785,138001015.2037785,NONE,R2,NONE->R2,3,0.0,128302079.86562265,128302079.86562265,1862000000.0,1733697920.1343775,-128302079.86562252
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,P4,P4,P4->P4,1225804644.0397646,1224101753.973965,-1702890.0657997131,1.0,1.0,0.0,h09,h09,1222564026.2925918,220123897.94027907,h19,1002440128.3523128,0.819948981643275,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,280197389.04322845,295507077.09389716,15309688.050668716,R0,R0,R0->R0,0,131542470.84849326,138729811.89039683,7187341.04190357,1730457529.1515067,1723270188.1096032,-7187341.041903496
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,P1,P1,P1->P1,1234916740.0606904,1234247683.2378776,-669056.8228127956,1.0,0.9999999999999974,-2.55351295663786e-15,h09,h09,1215109777.3824391,201506251.41539496,h19,1013603525.9670441,0.8341662167763352,1011129.2742392558,18778115.09301475,17766985.818775494,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9840000.0,0.0,-9840000.0,1124794.421068672,483859.6496734721,-640934.7713951999,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,8934392.190826537,9289365.072262846,354972.88143630885,19620763.091473687,0.0,-19620763.091473687,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1851133311.0303903,1862000000.0,10866688.969609737
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,P1,P1,P1->P1,1232577852.7326305,1231866555.1965904,-711297.5360400677,0.9999999999999998,1.0,2.220446049250313e-16,h09,h09,1212728649.341152,196871458.59787226,h19,1015857190.7432797,0.8376623998247027,417671.09656631807,17745663.72808323,17327992.63151691,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10155220.234596495,0.0,-10155220.234596495,1186104.858525904,530246.9102912714,-655857.9482346325,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,8862217.034048844,9246588.26784191,384371.23379306495,14618488.379821133,0.0,-14618488.379821133,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1853432708.2108774,1862000000.0,8567291.789122581
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,P4,P4,P4->P4,1218913391.3329117,1216833970.5307605,-2079420.8021512032,1.0,1.0,0.0,h09,h09,1211448972.0299628,222143504.14851174,h19,989305467.881451,0.8166299123798196,0.0,0.0,0.0,13263910.884596925,426298.26574119116,-12837612.618855733,R0,R0,R0->R0,0,10399999.999999996,334252.99689376773,-10065747.003106229,3.725290298461914e-09,10065747.003106233,10065747.003106229,0.0,0.0,0.0,0.0,1338265.7747305832,1338265.7747305832,NONE,R0,NONE->R0,1,0.0,1049310.7333343648,1049310.7333343648,9557344.06438629,8508033.331051925,-1049310.7333343644,0.0,0.0,0.0,99543747.44158016,0.0,-99543747.44158016,R0,NONE,R0->NONE,-1,78050507.30510046,0.0,-78050507.30510046,1783949492.6948996,1862000000.0,78050507.30510044
