level,commodity,mean,median,Q25,Q75,zero_frequency,positive_frequency,weighted_loss_mean,weighted_loss_median,weighted_loss_Q25,weighted_loss_Q75,normalized_value_mean,normalized_value_median
BETA4_BASELINE,Water,4605031.757612175,0.0,0.0,10400000.0,556,444,,,,,,
BETA4_BASELINE,Vaccine,9250138.92051136,9557344.06438629,9073245.614802893,9557344.06438629,0,1000,,,,,,
BETA4_BASELINE,Crackers,1788884704.7910159,1807806731.693983,1723464240.3884692,1862000000.0,0,1000,,,,,,
BETA4_BASELINE,AGGREGATE_PHYSICAL_UNITS,1802739875.4691393,1817364075.7583694,1742895813.1528645,1871170219.135995,,,1197447547.281022,1202359208.215928,1191096387.6387503,1208960382.11027,299361886.8202555,300589802.053982
BETA2,Water,5356949.459990287,10116898.717140693,0.0,10400000.0,484,516,,,,,,
BETA2,Vaccine,9302631.068172656,9557344.06438629,9120075.012041885,9557344.06438629,0,1000,,,,,,
BETA2,Crackers,1779135987.9254057,1785125713.5050755,1715626082.783647,1862000000.0,0,1000,,,,,,
BETA2,AGGREGATE_PHYSICAL_UNITS,1793795568.453569,1794683057.5694618,1734122562.3891118,1871148288.9264846,,,599331469.7965908,601179604.107964,595548193.8193752,604480191.055135,299665734.8982954,300589802.053982
BETA6,Water,4654693.459696916,0.0,0.0,10400000.0,551,449,,,,,,
BETA6,Vaccine,9221518.73082974,9557344.06438629,9045019.220076958,9557344.06438629,0,1000,,,,,,
BETA6,Crackers,1792791156.7241051,1819747628.6020963,1731755359.0258803,1862000000.0,0,1000,,,,,,
BETA6,AGGREGATE_PHYSICAL_UNITS,1806667368.914632,1829304972.6664827,1746728034.830359,1871267303.8601122,,,1796171320.9215329,1803538812.3238916,1786644581.4581254,1813440573.165405,299361886.8202555,300589802.05398196
